user,restoran,text,pesanan,harga,lokasi,kategori,rating
henie_herliani,Soto Mie Pak Kadir,"Soto mie dibandung yang sudah buka sejak lama .Tempatnya lumayan luas , bersih , pelayanannya cepat.- soto mie spesial : porsinya lumayan banyak , dagingnya empuk dan full daging . Ada mie , bihun , kol dan risol . Kuahnya gurih , berasa bumbunya dan enak . - risol : isiannya bihun , digoreng garing dan enak .- gehu : garing , isiannya ada bihun.- telor puyuh : empuk , kenyal dan enak - es jeruk : seger dari jeruknya dan manisnya pas .","soto mie spesial, Risol, gehu, telor puyuh, Es Jeruk"," < Rp. 50.000


",Wastukencana,Indonesia,4.0
henie_herliani,Yummy Choice,"Lagi ada promo diskon 50 % untuk caramel macchiato iced . Dari harga 15 rb jadi 7500 aja.- chocolate ice : coklatnya berasa tapi kurang lekoh , untuk manisnya masih berasa .- caramel macchiato iced : kopinya masih berasa , manisnya pas .","Chocolate Iced, caramel macchiato iced"," < Rp. 50.000


",[ Antapani ],,3.8
henie_herliani,Bread.Co,"Ada manusia baru cromboloni dari bread.coAda 5 rasa untuk cromboloni nya .Ada cemilan favorit dari bread,co yaitu bolen lilit.Untuk boleh lilit nya ada 2 ukuran : normal dan mini- cromboloni black forest : ukurannya besar , luarnya renyah dan dalemnya lembut.Cuman sayang isiannya cream  , kirain coklat yang lumer gitu .- bolen lilit mini keju : isiannya keju batangan, adonan bolennya enak , empuk tapi luarnya renyah .- bolen lilit mini coklat : renyah diluar dan lembut didalam . Isian coklat banyak , gurih dan manis berpadu sempurna.","Cromboloni black forest, bolen lilit mini coklat, bolen lilit mini keju"," < Rp. 50.000


",Antapani,Toko Roti dan Kue,3.8
henie_herliani,Sari Bundo,"Tempat makan khas Padang favorit dibandungDisajikan prasmanan jadi bebas pilih sepuasnya.- rendang : bumbunya lekoh dan berasa ,  dagingnya tebal dan empuk . Rasanya enak dan ukurannya lumayan besar .- ayam pop : empuk , gurih dan saus cocolannya enak.- paru balado : garing , empuk dan 1 porsinya banyak . - sayur nangka :  empuk , enak dan bebas ambil sepuasnya.- sambel ijo : sambelnya khas nasi Padang , gurih tapi kurang berasa pedasnya .- untuk nasinya diambilin sama pegawainya , porsinya mini .- semur jengkol : enak , empuk , bumbunya berasa","Rendang, paru balado, Ayam Pop, sayur nangka, Sambel Ijo, Semur Jengkol"," < Rp. 50.000


",Surapati,Indonesia,3.6
henie_herliani,Roti Srikaya Ajung,"Selalu beli roti srikaya Ajung di event pergi kuliner.Untuk rotinya ada yang putih dan hijau , tapi isiannya sama aja srikaya.- rotinya empuk dan lembut . - Selai srikaya nya enak , manisnya pas .Isian srikaya juga banyak .Roti favorit di event Pergi Kuliner.",Roti Kukus," < Rp. 50.000


",Pasir Kaliki,Toko Roti,3.6
henie_herliani,Charlie's Mac,"Macaroni nya basah dikasih topping saus keju dan telor orak Arik. Macaroni nya empuk tapi saus kejunya dikit .Telor nya juga dikit .Porsinya juga sedikit, karena lagi promo jadi ngantrinya sampe 1 jam .",Egg & Cheese," < Rp. 50.000



Makasih Infonya!

Kamu belum login,",Gede Bage,Snack,3.2
henie_herliani,150 Coffee and Garden,"Ga nyangka tempatnya luas banget dan cozy .Menu makanan juga banyak , pelayanannya juga cepat.Klo malam ada pemutaran film di lapangan hijaunya.- omurice katshoubushi : nasi goreng dengan topping telur ala jepang. Porsinya mengenyangkan, cuman sayang kurang berasa bumbunya.- Thai tea :  teh dan susunya berasa, cuman kurang lekoh.- 150 platter : isinya ada kentang , sosis dan nuget .Porsinya lumayan banyak dan mengenyangkan.Disajikan dalam box .- butter scotcth latte : manisnya berasa , cuman untuk kopinya kurang .","Omurice katshoubushi, thai tea, 150 platter, butter scocth latte"," Rp. 50.000 - Rp. 100.000


",Antapani,Kafe,3.6
henie_herliani,Panties Pizza,"Pizza dengan 4 slice yang ukurannya lumayan besar Adonan pizza nya tebal , isiannya melimpah.Dimakan panas² kejunya molor , bersatu dengan coklat bikin rasanya sempurna.Favorit menunya choco cheese untuk varian pizza manisnya.",choco cheese," < Rp. 50.000


",Merdeka,Italia,3.4
henie_herliani,Chatime,"Lagi promo b1g1  jadi langsung cus aja beli .Belinya harus ukuran large baru dapet gratis yang ukuran medium. Untuk rasanya bebas pilih sesuai selera.- hazelnut choco large : hazelnutnya berasa , manisnya pas.- bs cocoa latte : perpaduan coklat dan latte nya pas , rasanya jadi unik.","Hazelnut choco large, bs cocoa latte regular"," < Rp. 50.000


",Merdeka,Bubble Tea,3.4
henie_herliani,Onde - Onde Aroma Banyumas,"Harga 1 nya 3 rb , ukurannya besar dan isiannya juga padet . Ondenya empuk dan  isiannya enak .Dimakan pas anget² mantul banget.Untuk box nya ada yg kecil buat isi 6 pcs Dan ada yg besar buat 10 pcs .",Onde - Onde," < Rp. 50.000


",Antapani,Indonesia,3.6
henie_herliani,Cireng Saturnus,"Ada 3 pilihan : cireng pedas , gehu pedas dan cireng keju . Harganya Rp 1500 / pcs , untuk ukurannya pas Ada kriuk nya juga yg bisa diminta ke mangnya .- cireng pedas : isiannya pedas tapi enak , cirengnya harus beli pas lagi panas / anget . Karna klo dingin jadi alot cirengnya. Untuk rasanya enak , pedasnya ok.- gehu pedas : isiannya ada sayur kol dengan cabe rawitnya . Garing dan pedasnya pas.- cireng keju : isian parutan keju banyak dari asin gurih .- kriuk : potongan dari tepung yang digoreng garing dan enak .","cireng keju, cireng pedas, gehu"," < Rp. 50.000


",Antapani,Indonesia,3.6
